FLT_ARL_IATA,FLT_ROUTE,FLT_DATE,FLT_AIRCRAFT
KB,Amsterdam to Hong Kong via Moscow,December 2019,NONE
KB,Warsaw to Moscow ,December 2019,A320
KB,Paris to Phuket via Moscow,December 2019,Boeing 777
KB,Hanoi to Stockholm via Moscow,July 2019,NONE
KB,Warsaw to Moscow,August 2019,Boeing 737-800
KB,Prague to Cairo via Moscow,June 2019,A320
KB,London to Seoul via Moscow,October 2019,NONE
KB,Moscow to Los Angeles,October 2019,NONE
KB,Vienna to Moscow,October 2019,A320
KB,Moscow SVO to Paris CDG,October 2019,A320
KB,New York to NurSultan via Moscow,September 2019,Boeing 777-300
KB,St Petersburg to Moscow via New Delhi,September 2019,NONE
KB,Ho Chi Minh City to Verona via Moscow,September 2019,NONE
KB,Washington DC to Moscow,September 2019,NONE
KB,Seoul to Minsk via Moscow,September 2019,NONE
KB,Barnaul to Vienna via Moscow,September 2019,Boeing 737-800
KB,Moscow to Nalchik,August 2019,NONE
KB,Los Angeles to Istanbul via Moscow,September 2019,NONE
KB,Vladivostok to Moscow,September 2019,Boeing 777
KB,New York to Moscow,September 2019,NONE
KB,Washington to Minsk via Moscow,September 2019,NONE
KB,Kazan to Lisbon via Moscow,August 2019,NONE
KB,Moscow to Kazan,August 2019,NONE
KB,Lisbon to Moscow,August 2019,NONE
KB,Oslo to Bangkok via Moscow,August 2019,NONE
KB,Moscow to Athens,August 2019,NONE
KB,Madrid to Bangkok via Moscow,August 2019,NONE
KB,New York to Tel Aviv via Moscow,June 2019,NONE
KB,Madrid to Guangzhou via Moscow,July 2019,NONE
KB,Amsterdam to Simferopol via Moscow,July 2019,NONE
KB,Bangkok to Moscow,July 2019,A330
KB,Berlin to Delhi via Moscow,June 2019,A330
KB,Almaty to Copenhagen via Moscow,June 2019,A320/321
KB,Amsterdam to Phuket via Moscow,July 2019,A330
KB,New York to Istanbul via Moscow,June 2019,NONE
KB,Belgrade to Delhi via Moscow ,June 2019,A320 / A330-200
KB,Almaty to New York via Moscow,June 2019,NONE
KB,Moscow to Los Angeles,June 2019,NONE
KB,Samara to New York via Moscow,June 2019,NONE
KB,Perm to New York via Moscow,June 2019,NONE
KB,Minsk to Amsterdam via Moscow,May 2019,SSJ100 / A321
KB,Moscow to Delhi,May 2019,NONE
KB,Lisbon to Hanoi via Moscow,May 2019,Boeing 777
KB,Moscow to Los Angeles,May 2019,Boeing 777
KB,Shanghai to London via Moscow,April 2019,NONE
KB,Bangkok to Budapest via Moscow,May 2019,NONE
KB,Gatwick to St. Petersburg,May 2019,NONE
KB,Amsterdam to Ulaanbaatar via Moscow SVO,January 2019,A330 / Boeing 777 / Boeing 737 / A321
KB,Stockholm to Tokyo via Moscow,April 2019,Boeing 737/777/A320
KB,Malé to Zurich via Moscow ,May 2019,NONE
KB,Washington to Moscow via Tel Aviv,April 2019,NONE
KB,Hong Kong to Moscow,April 2019,NONE
KB,Male to Moscow,April 2019,NONE
KB,Delhi to Moscow,April 2019,NONE
KB,Phuket to Amsterdam via Moscow,March 2019,Boeing 777-300
PM,Milano to Olbia,April 2023,NONE
LW,Miami to Buenos Aires,July 2023,NONE
LW,Cordoba to Aeroparque,June 2023,Boeing 737-800
LW,Ushuaia to Buenos Aires,March 2023,B0eing 737-800
LW,Buenos Aires to Brussels via Rome,February 2023,NONE
LW,Buenos Aires to Miami,January 2023,A330
LW,Ushuaia to El Calafate,December 2022,NONE
LW,Ushuaia to Buenos Aires,December 2022,NONE
LW,Santa Cruz to Buenos Aires,November 2022,E190
LW,Bogota to Montevideo via Buenos Aires,November 2022,NONE
LW,Buenos Aires to Salta,August 2022,Boeing 737
LW,Madrid to Buenos Aires,March 2022,A330
LW,Buenos Aires to San Juan Domingo Faustino,February 2022,Boeing 737
LW,Buenos Aires to Sao Paulo,December 2021,NONE
LW,Buenos Aires to Tucuman,November 2021,NONE
LW,Buenos Aires to El Calafate,November 2020,NONE
LW,Iguazu to Barliloche via Buenos Aires,April 2020,NONE
LW,Buenos Aires to New York,March 2020,A330
LW,Buenos Aires to Mendoza,November 2019,NONE
LW,Santiago to Buenos Aires,September 2019,NONE
LW,Cordoba to Buenos Aires ,July 2019,NONE
LW,New York to Buenos Aires,June 2019,NONE
LW,Buenos Aires to Rio de Janeiro,June 2019,AR1256
LW,Buenos Aires to El Calafate,April 2019,Boeing 737
LW,Cordoba to Buenos Aires,December 2018,Boeing 737
LW,Rio De Janeiro to Bariloche via Buenos Aires,May 2019,737-800
LW,Puerto Iguazú to Buenos Aires ,March 2019,Boeing 737-800
LW,El Calafate to Puerto Iguazú via Buenos Aires ,February 2019,"Boeing 737-700, Boeing 737-8MAX"
LW,Buenos Aires to Rio de Janeiro,January 2019,NONE
LW,Buenos Aires to Rio Grande,November 2018,NONE
LW,Montevideo to Buenos Aires,November 2018,Boeing 737-700
LW,El Calafate to Ushuaia,October 2018,Boeing 737
LW,San Luis to Buenos Aires,May 2018,Boeing 737-700
LW,Asuncion to Aeroparque Buenos Aires,March 2018,NONE
LW,Ushuaia to Puerto Iguazu via Cordoba,March 2018,ERJ90
LW,Buenos Aires to Iguazu,February 2018,NONE
LW,Buenos Aires to El Calfate,December 2017,NONE
LW,Buenos Aires to new York,October 2017,NONE
LW,Buenos Aires to Puerto Iguazu,November 2017,Boeing 737-800 
LW,Miami to Buenos Aires,November 2017,A330-200
LW,Zurich to Buenos Aires via Rio de Janeiro,October 2017,Boeing 737-800
LW,Mendoza to Aeroparque,September 2017,Boeing 737-800
LW,Aeroparque to Puerto Iguazu,August 2017,Boeing 737-800
LW,Buenos Aires to Miami,August 2017,A330-200
LW,Cordoba to El Calafate via Buenos Aires,August 2017,NONE
LW,Buenos Aires to Iguazu,April 2017,A321
LW,New York JFK to Salta via EZE,March 2017,A330
LW,Buenos Aires to Rio de Janeiro,March 2016,Boeing 737-800
LW,El Calafate to Buenos Aires,February 2017,NONE
LW,Buenos Aires to London via Rome,February 2017,NONE
LW,Buenos Aires to Ushuaia via Trelew,January 2017,NONE
LW,AEP to SCL,January 2017,Boeing 737-800
LW,AEP to MDQ,December 2016,Boeing 737-700
LW,EZE to USH,December 2016,NONE
LW,EZE to FLN,December 2016,Boeing 737-800
LW,BUE to USH,December 2016,NONE
LW,GIG to JFK via AEP / EZE,December 2016,Boeing 737-800 / A330-200
LW,SCL to JFK via EZE,November 2016,NONE
LW,JFK to GRU via EZE,August 2016,A330
